Joke,Category,Likes,Dislikes,Like%
Teacher: "Kids^ what does the chicken give you?" Student: "Meat!" Teacher: "Very good! Now what does the pig give you?" Student: "Bacon!" Teacher: "Great! And what does the fat cow give you?" Student: "Homework!",clean-jokes,73161,17988,0.8026528
A child asked his father^ "How were people born?" So his father said^ "Adam and Eve made babies^ then their babies became adults and made babies^ and so on." The child then went to his mother^ asked her the same question and she told him^ "We were monkeys then we evolved to become like we are now." The child ran back to his father and said^ "You lied to me!" His father replied^ "No^ your mom was talking about her side of the family.",clean-jokes,43985,10789,0.803027
My friend thinks he is smart. He told me an onion is the only food that makes you cry^ so I threw a coconut at his face.,clean-jokes,29417,6523,0.8185031
What happens to a frog's car when it breaks down? It gets toad away.,clean-jokes,23343,10136,0.69724303
Q: Is Google male or female? A: Female^ because it doesn't let you finish a sentence before making a suggestion.,clean-jokes,15110,5736,0.72483927
Q: What did the duck say when he bought lipstick? A: "Put it on my bill.",clean-jokes,14896,7996,0.65070766
Teacher: "If I gave you 2 cats and another 2 cats and another 2^ how many would you have?" Johnny: "Seven." Teacher: "No^ listen carefully... If I gave you two cats^ and another two cats and another two^ how many would you have?" Johnny: "Seven." Teacher: "Let me put it to you differently. If I gave you two apples^ and another two apples and another two^ how many would you have?" Johnny: "Six." Teacher: "Good. Now if I gave you two cats^ and another two cats and another two^ how many would you have?" Johnny: "Seven!" Teacher: "Johnny^ where in the heck do you get seven from?!" Johnny: "Because I've already got a freaking cat!",clean-jokes,14311,2598,0.846354
Mr. and Mrs. Brown had two sons. One was named Mind Your Own Business & the other was named Trouble. One day the two boys decided to play hide and seek. Trouble hid while Mind Your Own Business counted to one hundred. Mind Your Own Business began looking for his brother behind garbage cans and bushes. Then he started looking in and under cars until a police man approached him and asked^ "What are you doing?" "Playing a game^" the boy replied. "What is your name?" the officer questioned. "Mind Your Own Business." Furious the policeman inquired^ "Are you looking for trouble?!" The boy replied^ "Why^ yes.",clean-jokes,12026,2328,0.8378152
A blonde and a redhead have a ranch. They have just lost their bull. The women need to buy another^ but only have $500. The redhead tells the blonde^ "I will go to the market and see if I can find one for under that amount. If I can^ I will send you a telegram." She goes to the market and finds one for $499. Having only one dollar left^ she goes to the telegraph office and finds out that it costs one dollar per word. She is stumped on how to tell the blonde to bring the truck and trailer. Finally^ she tells the telegraph operator to send the word "comfortable." Skeptical^ the operator asks^ "How will she know to come with the trailer from just that word?" The redhead replies^ "She's a blonde so she reads slow: 'Come for ta bull.'",clean-jokes,10994,3518,0.7575799
Reaching the end of a job interview^ the Human Resources Officer asks a young engineer fresh out of the Massachusetts Institute of Technology^ "And what starting salary are you looking for?" The engineer replies^ "In the region of $125^000 a year^ depending on the benefits package." The interviewer inquires^ "Well^ what would you say to a package of five weeks vacation^ 14 paid holidays^ full medical and dental^ company matching retirement fund to 50% of salary^ and a company car leased every two years^ say^ a red Corvette?" The engineer sits up straight and says^ "Wow! Are you kidding?" The interviewer replies^ "Yeah^ but you started it.",clean-jokes,9544,3641,0.7238529
A teacher asked her students to use the word "beans" in a sentence. "My father grows beans^" said one girl. "My mother cooks beans^" said a boy. A third student spoke up^ "We are all human beans.",clean-jokes,8987,4450,0.6688249
Kid 1: "Hey^ I bet you're still a virgin." Kid 2: "Yeah^ I was a virgin until last night ." Kid 1: "As if." Kid 2: "Yeah^ just ask your sister." Kid 1: "I don't have a sister." Kid 2: "You will in about nine months.",clean-jokes,8658,3738,0.6984511
Reporter: "Excuse me^ may I interview you?" Man: "Yes!" Reporter: "Name?" Man: "Abdul Al-Rhazim." Reporter: "Sex?" Man: "Three to five times a week." Reporter: "No no! I mean male or female?" Man: "Yes^ male^ female... sometimes camel." Reporter: "Holy cow!" Man: "Yes^ cow^ sheep... animals in general." Reporter: "But isn't that hostile?" Man: "Yes^ horse style^ dog style^ any style." Reporter: "Oh dear!" Man: "No^ no deer. Deer run too fast. Hard to catch.",animal-jokes,30641,11312,0.7303649
What happens to a frog's car when it breaks down? It gets toad away.,animal-jokes,23343,10136,0.69724303
Q: What did the duck say when he bought lipstick? A: "Put it on my bill.",animal-jokes,14896,7996,0.65070766
A boy is selling fish on a corner. To get his customers' attention^ he is yelling^ "Dam fish for sale! Get your dam fish here!" A pastor hears this and asks^ "Why are you calling them 'dam fish.'" The boy responds^ "Because I caught these fish at the local dam." The pastor buys a couple fish^ takes them home to his wife^ and asks her to cook the dam fish. The wife responds surprised^ "I didn't know it was acceptable for a preacher to speak that way." He explains to her why they are dam fish. Later at the dinner table^ he asks his son to pass the dam fish. He responds^ "That's the spirit^ Dad! Now pass the f*cking potatoes!",animal-jokes,11623,3548,0.7661328
A blonde and a redhead have a ranch. They have just lost their bull. The women need to buy another^ but only have $500. The redhead tells the blonde^ "I will go to the market and see if I can find one for under that amount. If I can^ I will send you a telegram." She goes to the market and finds one for $499. Having only one dollar left^ she goes to the telegraph office and finds out that it costs one dollar per word. She is stumped on how to tell the blonde to bring the truck and trailer. Finally^ she tells the telegraph operator to send the word "comfortable." Skeptical^ the operator asks^ "How will she know to come with the trailer from just that word?" The redhead replies^ "She's a blonde so she reads slow: 'Come for ta bull.'",animal-jokes,10994,3518,0.7575799
